Churn_Probability,Risk_Tier,Actual_Churn,MonthlyCharges,tenure,Recommended_Action,Est_Revenue_At_Risk
0.72338855,High risk,1,95.15,11,Priority outreach: offer loyalty discount immediately,1141.8
0.72118527,High risk,1,79.6,2,Priority outreach: offer loyalty discount immediately,955.2
0.7209745,High risk,0,74.85,8,Priority outreach: offer loyalty discount immediately,898.2
0.7209745,High risk,0,73.5,8,Priority outreach: offer loyalty discount immediately,882.0
0.7209745,High risk,0,75.25,8,Priority outreach: offer loyalty discount immediately,903.0
0.7179084,High risk,1,102.25,13,Priority outreach: offer loyalty discount immediately,1227.0
0.7165167,High risk,1,75.75,8,Priority outreach: offer loyalty discount immediately,909.0
0.7164861,High risk,1,74.85,2,Priority outreach: offer loyalty discount immediately,898.2
0.71326697,High risk,1,96.65,13,Priority outreach: offer loyalty discount immediately,1159.8
0.71188176,High risk,0,85.95,6,Priority outreach: offer loyalty discount immediately,1031.4
0.7100121,High risk,1,79.0,4,Priority outreach: offer loyalty discount immediately,948.0
0.7099746,High risk,1,44.55,4,Priority outreach: offer loyalty discount immediately,534.6
0.7093119,High risk,0,55.3,2,Priority outreach: offer loyalty discount immediately,663.6
0.7086285,High risk,0,87.95,6,Priority outreach: offer loyalty discount immediately,1055.4
0.705762,High risk,1,75.8,2,Priority outreach: offer loyalty discount immediately,909.6
0.6999009,Medium risk,1,80.95,2,Schedule retention call within 2 weeks,971.4
0.6992771,Medium risk,1,84.4,6,Schedule retention call within 2 weeks,1012.8
0.69905275,Medium risk,1,104.85,14,Schedule retention call within 2 weeks,1258.2
0.6950148,Medium risk,0,75.85,9,Schedule retention call within 2 weeks,910.2
0.69471437,Medium risk,1,80.35,4,Schedule retention call within 2 weeks,964.2
0.6944267,Medium risk,1,74.4,4,Schedule retention call within 2 weeks,892.8
0.6903951,Medium risk,0,95.6,14,Schedule retention call within 2 weeks,1147.2
0.6886225,Medium risk,1,73.5,1,Schedule retention call within 2 weeks,882.0
0.6871021,Medium risk,1,74.4,7,Schedule retention call within 2 weeks,892.8
0.6818891,Medium risk,1,104.25,24,Schedule retention call within 2 weeks,1251.0
0.67934823,Medium risk,1,75.05,3,Schedule retention call within 2 weeks,900.6
0.67873895,Medium risk,1,74.95,14,Schedule retention call within 2 weeks,899.4
0.6786645,Medium risk,1,45.1,1,Schedule retention call within 2 weeks,541.2
0.6786645,Medium risk,0,45.2,1,Schedule retention call within 2 weeks,542.4
0.67839646,Medium risk,1,80.65,8,Schedule retention call within 2 weeks,967.8
0.6762714,Medium risk,1,24.8,1,Schedule retention call within 2 weeks,297.6
0.675739,Medium risk,1,25.05,1,Schedule retention call within 2 weeks,300.6
0.6719376,Medium risk,1,98.15,13,Schedule retention call within 2 weeks,1177.8
0.6687529,Medium risk,1,79.9,4,Schedule retention call within 2 weeks,958.8
0.66810966,Medium risk,1,35.1,2,Schedule retention call within 2 weeks,421.2
0.6667585,Medium risk,0,74.9,2,Schedule retention call within 2 weeks,898.8
0.6665217,Medium risk,0,95.1,22,Schedule retention call within 2 weeks,1141.2
0.663923,Medium risk,1,89.4,13,Schedule retention call within 2 weeks,1072.8
0.6613192,Medium risk,0,75.4,16,Schedule retention call within 2 weeks,904.8
0.659189,Medium risk,1,74.35,11,Schedule retention call within 2 weeks,892.2
0.6576292,Medium risk,1,75.1,7,Schedule retention call within 2 weeks,901.2
0.6572181,Medium risk,1,50.5,1,Schedule retention call within 2 weeks,606.0
0.6560543,Medium risk,0,105.5,25,Schedule retention call within 2 weeks,1266.0
0.6551863,Medium risk,1,74.7,2,Schedule retention call within 2 weeks,896.4
0.6542598,Medium risk,0,73.85,6,Schedule retention call within 2 weeks,886.2
0.6535945,Medium risk,1,80.5,6,Schedule retention call within 2 weeks,966.0
0.65339684,Medium risk,0,98.9,10,Schedule retention call within 2 weeks,1186.8
0.6532944,Medium risk,1,50.75,1,Schedule retention call within 2 weeks,609.0
0.6532944,Medium risk,0,48.6,1,Schedule retention call within 2 weeks,583.2
0.6525535,Medium risk,1,70.65,2,Schedule retention call within 2 weeks,847.8
0.6466378,Medium risk,1,99.0,13,Schedule retention call within 2 weeks,1188.0
0.6462588,Medium risk,0,50.05,1,Schedule retention call within 2 weeks,600.6
0.6457585,Medium risk,0,98.85,46,Schedule retention call within 2 weeks,1186.2
0.6452696,Medium risk,0,90.7,3,Schedule retention call within 2 weeks,1088.4
0.6434844,Medium risk,0,80.0,3,Schedule retention call within 2 weeks,960.0
0.64299154,Medium risk,0,89.85,3,Schedule retention call within 2 weeks,1078.2
0.6406209,Medium risk,0,98.1,26,Schedule retention call within 2 weeks,1177.2
0.63979334,Medium risk,1,70.95,2,Schedule retention call within 2 weeks,851.4
0.63864875,Medium risk,1,42.6,2,Schedule retention call within 2 weeks,511.2
0.6382523,Medium risk,0,71.05,7,Schedule retention call within 2 weeks,852.6
0.6375948,Medium risk,1,94.2,2,Schedule retention call within 2 weeks,1130.4
0.63634104,Medium risk,0,93.5,23,Schedule retention call within 2 weeks,1122.0
0.63515943,Medium risk,0,70.15,3,Schedule retention call within 2 weeks,841.8
0.63515943,Medium risk,0,70.3,2,Schedule retention call within 2 weeks,843.6
0.63508224,Medium risk,1,85.4,5,Schedule retention call within 2 weeks,1024.8
0.63230366,Medium risk,1,84.5,5,Schedule retention call within 2 weeks,1014.0
0.63216096,Medium risk,0,91.0,15,Schedule retention call within 2 weeks,1092.0
0.6313916,Medium risk,1,59.2,1,Schedule retention call within 2 weeks,710.4
0.63040096,Medium risk,1,40.15,3,Schedule retention call within 2 weeks,481.8
0.62962234,Medium risk,0,75.85,9,Schedule retention call within 2 weeks,910.2
0.6285579,Medium risk,1,73.9,4,Schedule retention call within 2 weeks,886.8
0.627691,Medium risk,1,89.5,25,Schedule retention call within 2 weeks,1074.0
0.62544817,Medium risk,1,79.0,2,Schedule retention call within 2 weeks,948.0
0.6247549,Medium risk,0,74.9,7,Schedule retention call within 2 weeks,898.8
0.6237387,Medium risk,1,100.45,17,Schedule retention call within 2 weeks,1205.4
0.6214295,Medium risk,0,79.75,9,Schedule retention call within 2 weeks,957.0
0.6212776,Medium risk,1,67.75,2,Schedule retention call within 2 weeks,813.0
0.6146747,Medium risk,1,99.1,15,Schedule retention call within 2 weeks,1189.2
0.61427456,Medium risk,1,100.05,34,Schedule retention call within 2 weeks,1200.6
0.6131992,Medium risk,1,25.3,3,Schedule retention call within 2 weeks,303.6
0.6128121,Medium risk,1,79.4,15,Schedule retention call within 2 weeks,952.8
0.6099419,Medium risk,0,90.4,4,Schedule retention call within 2 weeks,1084.8
0.6097661,Medium risk,1,76.65,4,Schedule retention call within 2 weeks,919.8
0.60946816,Medium risk,1,96.55,37,Schedule retention call within 2 weeks,1158.6
0.60421324,Medium risk,0,75.05,3,Schedule retention call within 2 weeks,900.6
0.60359514,Medium risk,1,80.8,9,Schedule retention call within 2 weeks,969.6
0.60124564,Medium risk,1,69.7,5,Schedule retention call within 2 weeks,836.4
0.6006177,Medium risk,1,77.85,4,Schedule retention call within 2 weeks,934.2
0.599843,Medium risk,1,49.95,1,Schedule retention call within 2 weeks,599.4
0.5996612,Medium risk,0,84.1,21,Schedule retention call within 2 weeks,1009.2
0.59798807,Medium risk,1,80.55,2,Schedule retention call within 2 weeks,966.6
0.59790534,Medium risk,1,29.65,4,Schedule retention call within 2 weeks,355.8
0.5970512,Medium risk,0,90.35,5,Schedule retention call within 2 weeks,1084.2
0.5968118,Medium risk,0,99.85,21,Schedule retention call within 2 weeks,1198.2
0.5959268,Medium risk,0,105.0,19,Schedule retention call within 2 weeks,1260.0
0.59320736,Medium risk,0,88.75,22,Schedule retention call within 2 weeks,1065.0
0.587796,Medium risk,1,91.25,26,Schedule retention call within 2 weeks,1095.0
0.58569854,Medium risk,1,96.05,18,Schedule retention call within 2 weeks,1152.6
0.5854788,Medium risk,0,56.55,2,Schedule retention call within 2 weeks,678.6
0.58494157,Medium risk,1,95.9,25,Schedule retention call within 2 weeks,1150.8
0.5828939,Medium risk,1,106.4,47,Schedule retention call within 2 weeks,1276.8
0.5828283,Medium risk,0,79.95,12,Schedule retention call within 2 weeks,959.4
0.5825266,Medium risk,1,99.8,49,Schedule retention call within 2 weeks,1197.6
0.58214444,Medium risk,0,100.3,42,Schedule retention call within 2 weeks,1203.6
0.5801765,Medium risk,1,74.4,3,Schedule retention call within 2 weeks,892.8
0.5801765,Medium risk,1,74.9,2,Schedule retention call within 2 weeks,898.8
0.5774559,Medium risk,1,24.6,1,Schedule retention call within 2 weeks,295.2
0.57687885,Medium risk,1,105.65,4,Schedule retention call within 2 weeks,1267.8
0.57277304,Medium risk,0,69.7,8,Schedule retention call within 2 weeks,836.4
0.5725624,Medium risk,1,75.0,3,Schedule retention call within 2 weeks,900.0
0.572215,Medium risk,1,75.3,1,Schedule retention call within 2 weeks,903.6
0.571511,Medium risk,0,99.3,43,Schedule retention call within 2 weeks,1191.6
0.57138515,Medium risk,1,101.9,53,Schedule retention call within 2 weeks,1222.8
0.5704349,Medium risk,1,83.9,6,Schedule retention call within 2 weeks,1006.8
0.5671835,Medium risk,1,79.85,19,Schedule retention call within 2 weeks,958.2
0.56682557,Medium risk,1,75.55,5,Schedule retention call within 2 weeks,906.6
0.56569946,Medium risk,1,89.85,15,Schedule retention call within 2 weeks,1078.2
0.5647885,Medium risk,1,87.25,14,Schedule retention call within 2 weeks,1047.0
0.5630692,Medium risk,0,70.3,3,Schedule retention call within 2 weeks,843.6
0.56272125,Medium risk,1,54.9,1,Schedule retention call within 2 weeks,658.8
0.5616409,Medium risk,1,84.1,36,Schedule retention call within 2 weeks,1009.2
0.5605165,Medium risk,0,102.6,38,Schedule retention call within 2 weeks,1231.2
0.5594373,Medium risk,1,70.75,2,Schedule retention call within 2 weeks,849.0
0.5587694,Medium risk,0,95.4,21,Schedule retention call within 2 weeks,1144.8
0.55489147,Medium risk,1,106.35,34,Schedule retention call within 2 weeks,1276.2
0.5548571,Medium risk,1,75.45,7,Schedule retention call within 2 weeks,905.4
0.5544514,Medium risk,1,73.75,12,Schedule retention call within 2 weeks,885.0
0.5521187,Medium risk,1,74.4,13,Schedule retention call within 2 weeks,892.8
0.55112815,Medium risk,0,45.3,13,Schedule retention call within 2 weeks,543.6
0.54863644,Medium risk,0,90.45,23,Schedule retention call within 2 weeks,1085.4
0.5472306,Medium risk,1,69.55,3,Schedule retention call within 2 weeks,834.6
0.54689837,Medium risk,0,69.6,3,Schedule retention call within 2 weeks,835.2
0.5466841,Medium risk,0,96.55,20,Schedule retention call within 2 weeks,1158.6
0.5460463,Medium risk,1,50.45,1,Schedule retention call within 2 weeks,605.4
0.54467475,Medium risk,1,86.5,21,Schedule retention call within 2 weeks,1038.0
0.54466337,Medium risk,1,77.65,9,Schedule retention call within 2 weeks,931.8
0.54462916,Medium risk,0,75.65,5,Schedule retention call within 2 weeks,907.8
0.5445985,Medium risk,1,85.0,30,Schedule retention call within 2 weeks,1020.0
0.5438626,Medium risk,0,78.95,6,Schedule retention call within 2 weeks,947.4
0.54382676,Medium risk,0,45.8,1,Schedule retention call within 2 weeks,549.6
0.54382676,Medium risk,1,45.4,1,Schedule retention call within 2 weeks,544.8
0.54382676,Medium risk,1,45.85,1,Schedule retention call within 2 weeks,550.2
0.543769,Medium risk,1,53.5,1,Schedule retention call within 2 weeks,642.0
0.5436319,Medium risk,1,83.75,3,Schedule retention call within 2 weeks,1005.0
0.54333025,Medium risk,0,104.45,46,Schedule retention call within 2 weeks,1253.4
0.54306555,Medium risk,0,78.75,5,Schedule retention call within 2 weeks,945.0
0.5426878,Medium risk,0,24.2,1,Schedule retention call within 2 weeks,290.4
0.54213756,Medium risk,1,70.0,10,Schedule retention call within 2 weeks,840.0
0.541988,Medium risk,1,99.7,30,Schedule retention call within 2 weeks,1196.4
0.5411654,Medium risk,0,44.0,1,Schedule retention call within 2 weeks,528.0
0.53770363,Medium risk,1,100.2,30,Schedule retention call within 2 weeks,1202.4
0.53740966,Medium risk,0,24.95,9,Schedule retention call within 2 weeks,299.4
0.53734255,Medium risk,0,54.2,3,Schedule retention call within 2 weeks,650.4
0.53691673,Medium risk,1,89.4,22,Schedule retention call within 2 weeks,1072.8
0.53570557,Medium risk,1,90.2,20,Schedule retention call within 2 weeks,1082.4
0.5349012,Medium risk,0,49.95,2,Schedule retention call within 2 weeks,599.4
0.53477806,Medium risk,0,79.55,12,Schedule retention call within 2 weeks,954.6
0.5328402,Medium risk,0,90.4,3,Schedule retention call within 2 weeks,1084.8
0.5319124,Medium risk,0,103.85,21,Schedule retention call within 2 weeks,1246.2
0.53069115,Medium risk,0,80.5,24,Schedule retention call within 2 weeks,966.0
0.5299424,Medium risk,0,104.6,22,Schedule retention call within 2 weeks,1255.2
0.52950466,Medium risk,0,25.35,1,Schedule retention call within 2 weeks,304.2
0.52900445,Medium risk,0,69.9,7,Schedule retention call within 2 weeks,838.8
0.52859175,Medium risk,1,74.4,2,Schedule retention call within 2 weeks,892.8
0.5284908,Medium risk,1,90.35,24,Schedule retention call within 2 weeks,1084.2
0.5278066,Medium risk,0,90.65,4,Schedule retention call within 2 weeks,1087.8
0.52652764,Medium risk,0,74.55,3,Schedule retention call within 2 weeks,894.6
0.5240784,Medium risk,0,100.0,33,Schedule retention call within 2 weeks,1200.0
0.5231059,Medium risk,1,99.45,69,Schedule retention call within 2 weeks,1193.4
0.52244675,Medium risk,1,76.5,37,Schedule retention call within 2 weeks,918.0
0.5208736,Medium risk,0,49.9,1,Schedule retention call within 2 weeks,598.8
0.5208736,Medium risk,1,52.2,1,Schedule retention call within 2 weeks,626.4
0.52030706,Medium risk,0,64.0,5,Schedule retention call within 2 weeks,768.0
0.52003646,Medium risk,0,74.85,9,Schedule retention call within 2 weeks,898.2
0.518111,Medium risk,0,70.05,5,Schedule retention call within 2 weeks,840.6
0.5169442,Medium risk,1,44.15,1,Schedule retention call within 2 weeks,529.8
0.51583576,Medium risk,0,49.95,1,Schedule retention call within 2 weeks,599.4
0.51506865,Medium risk,0,78.3,13,Schedule retention call within 2 weeks,939.6
0.51473355,Medium risk,0,70.35,2,Schedule retention call within 2 weeks,844.2
0.514086,Medium risk,0,99.05,54,Schedule retention call within 2 weeks,1188.6
0.5129905,Medium risk,0,81.15,31,Schedule retention call within 2 weeks,973.8
0.5125623,Medium risk,1,44.95,2,Schedule retention call within 2 weeks,539.4
0.51207423,Medium risk,1,95.55,27,Schedule retention call within 2 weeks,1146.6
0.51193595,Medium risk,1,76.1,24,Schedule retention call within 2 weeks,913.2
0.5118842,Medium risk,1,104.75,42,Schedule retention call within 2 weeks,1257.0
0.51139563,Medium risk,0,74.1,6,Schedule retention call within 2 weeks,889.2
0.50911546,Medium risk,1,76.25,37,Schedule retention call within 2 weeks,915.0
0.5064913,Medium risk,1,78.05,27,Schedule retention call within 2 weeks,936.6
0.5054165,Medium risk,1,80.85,13,Schedule retention call within 2 weeks,970.2
0.50520337,Medium risk,1,89.75,7,Schedule retention call within 2 weeks,1077.0
0.5047921,Medium risk,0,106.15,60,Schedule retention call within 2 weeks,1273.8
0.5042083,Medium risk,0,89.95,20,Schedule retention call within 2 weeks,1079.4
0.5031608,Medium risk,1,43.3,3,Schedule retention call within 2 weeks,519.6
0.5021172,Medium risk,0,85.75,26,Schedule retention call within 2 weeks,1029.0
0.50118506,Medium risk,1,74.95,23,Schedule retention call within 2 weeks,899.4
0.50037754,Medium risk,1,89.05,13,Schedule retention call within 2 weeks,1068.6
0.50026613,Medium risk,1,84.3,15,Schedule retention call within 2 weeks,1011.6
0.49909374,Low risk,1,78.9,32,Monitor and include in next email campaign,946.8
0.4985833,Low risk,0,24.9,2,Monitor and include in next email campaign,298.8
0.4985485,Low risk,0,94.75,38,Monitor and include in next email campaign,1137.0
0.4967996,Low risk,0,80.0,13,Monitor and include in next email campaign,960.0
0.49679193,Low risk,0,101.15,38,Monitor and include in next email campaign,1213.8
0.49606323,Low risk,0,81.2,40,Monitor and include in next email campaign,974.4
0.49519247,Low risk,0,83.55,17,Monitor and include in next email campaign,1002.6
0.49473992,Low risk,0,101.3,30,Monitor and include in next email campaign,1215.6
0.49413478,Low risk,0,55.3,4,Monitor and include in next email campaign,663.6
0.49288768,Low risk,0,70.7,2,Monitor and include in next email campaign,848.4
0.49217957,Low risk,1,102.8,21,Monitor and include in next email campaign,1233.6
0.49124548,Low risk,0,99.15,21,Monitor and include in next email campaign,1189.8
0.49084523,Low risk,1,90.45,14,Monitor and include in next email campaign,1085.4
0.48904234,Low risk,1,20.1,1,Monitor and include in next email campaign,241.2
0.48880595,Low risk,1,113.2,41,Monitor and include in next email campaign,1358.4
0.4885363,Low risk,0,90.6,11,Monitor and include in next email campaign,1087.2
0.48847038,Low risk,1,45.95,1,Monitor and include in next email campaign,551.4
0.48837647,Low risk,0,100.85,34,Monitor and include in next email campaign,1210.2
0.48821712,Low risk,1,45.95,1,Monitor and include in next email campaign,551.4
0.48633328,Low risk,0,50.3,2,Monitor and include in next email campaign,603.6
0.48538914,Low risk,0,49.0,15,Monitor and include in next email campaign,588.0
0.48384118,Low risk,0,96.35,34,Monitor and include in next email campaign,1156.2
0.48298448,Low risk,1,85.25,36,Monitor and include in next email campaign,1023.0
0.48293155,Low risk,1,72.65,16,Monitor and include in next email campaign,871.8
0.48254526,Low risk,0,72.75,4,Monitor and include in next email campaign,873.0
0.48170194,Low risk,1,50.45,1,Monitor and include in next email campaign,605.4
0.48167506,Low risk,0,19.9,1,Monitor and include in next email campaign,238.8
0.48162705,Low risk,0,101.4,67,Monitor and include in next email campaign,1216.8
0.48107326,Low risk,1,74.3,16,Monitor and include in next email campaign,891.6
0.48007974,Low risk,1,95.05,50,Monitor and include in next email campaign,1140.6
0.479949,Low risk,0,98.85,32,Monitor and include in next email campaign,1186.2
0.47968465,Low risk,1,94.25,34,Monitor and include in next email campaign,1131.0
0.47903368,Low risk,0,53.95,41,Monitor and include in next email campaign,647.4
0.47881123,Low risk,1,69.95,5,Monitor and include in next email campaign,839.4
0.47795537,Low risk,0,95.95,18,Monitor and include in next email campaign,1151.4
0.474787,Low risk,0,78.15,10,Monitor and include in next email campaign,937.8
0.4742177,Low risk,1,49.15,52,Monitor and include in next email campaign,589.8
0.47365725,Low risk,1,45.35,2,Monitor and include in next email campaign,544.2
0.47290486,Low risk,0,69.95,5,Monitor and include in next email campaign,839.4
0.47229376,Low risk,0,84.6,12,Monitor and include in next email campaign,1015.2
0.4718689,Low risk,1,69.75,2,Monitor and include in next email campaign,837.0
0.4718689,Low risk,1,70.0,2,Monitor and include in next email campaign,840.0
0.47161078,Low risk,0,100.7,16,Monitor and include in next email campaign,1208.4
0.46856475,Low risk,0,109.1,52,Monitor and include in next email campaign,1309.2
0.46595737,Low risk,1,79.15,20,Monitor and include in next email campaign,949.8
0.4659236,Low risk,0,48.75,4,Monitor and include in next email campaign,585.0
0.46454316,Low risk,0,69.65,16,Monitor and include in next email campaign,835.8
0.46399787,Low risk,1,25.25,3,Monitor and include in next email campaign,303.0
0.46301153,Low risk,1,21.0,1,Monitor and include in next email campaign,252.0
0.4613822,Low risk,1,100.95,19,Monitor and include in next email campaign,1211.4
0.4613037,Low risk,0,44.75,1,Monitor and include in next email campaign,537.0
